mode,pingall_loss_pct,throughput_mbps,packet_loss_pct,packet_delivery_pct,latency_avg_ms,congestion_response_s,reroute_packets,reroute_observed,policy_activated_count
before_adaptive,0.0,4.613,0.0,100.0,5.664,,0,False,0
after_adaptive,0.0,5.451,0.0,100.0,5.826,0.001,0,True,1
