mode,pingall_loss_pct,throughput_mbps,packet_loss_pct,packet_delivery_pct,latency_avg_ms,congestion_response_s,reroute_packets,reroute_observed,policy_activated_count
before_adaptive,0.0,4.613,0.0,100.0,5.597,,0,False,0
after_adaptive,0.0,4.613,0.0,100.0,5.609,,0,False,0
