mode,throughput_mbps,packet_loss_pct,packet_delivery_pct,latency_avg_ms,congestion_response_s,reroute_packets,policy_activated_count
before_adaptive,0.0,0.0,100.0,6.695,,0,7
after_adaptive,0.0,0.0,100.0,6.567,,0,5
